Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|U00096.1|-|1124117-1125326|ARO:3001216|mdtH	mdtH	3001216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	8	0	8	10.84	131	43.75	*	1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|KP050491.1|+|0-861|ARO:3001391|TEM-214	TEM-214	3001391	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	27.64	238	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U00096.1|+|2154015-2155263|ARO:3000792|mdtA	mdtA	3000792	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	7.13	89	39.50	*	1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|X54606.1|+|214-1075|ARO:3000874|TEM-2	TEM-2	3000874	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	6.27	54	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|HM440348.1|+|0-744|ARO:3000553|adeR	adeR	3000553	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	2	0	2	36.83	274	39.00	*	744	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|BX571965.1|-|2147817-2150949|ARO:3002983|amrB	amrB	3002983	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	67	0	67	83.40	2612	50.60	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AE004091.2|+|472023-473175|ARO:3000377|MexA	MexA	3000377	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	260	0	260	34.98	403	26.48	*	1152	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AY768532.1|+|0-1935|ARO:3000535|macB	macB	3000535	protein homolog model	CARD	CARD curation	no data	no data	Neisseria gonorrhoeae	3	0	3	2.89	56	49.33	*	1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|AE004091.2|+|4710620-4712084|ARO:3000809|OpmD	OpmD	3000809	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2	0	2	20.08	294	60.00	*	1464	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AF427130.1|+|208-1069|ARO:3000951|TEM-84	TEM-84	3000951	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U46859.1|-|22365-24057|ARO:3003049|rosB	rosB	3003049	protein homolog model	CARD	CARD curation	no data	no data	Yersinia enterocolitica	7	0	7	4.85	82	59.29	*	1692	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
gb|CT025802.2|+|0-1452|ARO:3000779|adeH	adeH	3000779	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	5	0	5	23.62	343	54.60	*	1452	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|HM246246.1|+|211-1069|ARO:3001047|TEM-187	TEM-187	3001047	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	17.60	151	0.00	*	858	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AJ012256.1|+|208-1069|ARO:3000939|TEM-73	TEM-73	3000939	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY769962.1|+|2434-5611|ARO:3000781|adeJ	adeJ	3000781	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	21	0	21	60.37	1918	59.81	*	3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AJ252200.1|+|4493-5894|ARO:3003057|smeF	smeF	3003057	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	4	0	4	4.21	59	37.25	*	1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|AP009048.1|-|4338624-4340268|ARO:3003576|eptA	eptA	3003576	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	2.92	48	60.00	*	1644	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
gb|EF468463.1|+|66-927|ARO:3001028|TEM-162	TEM-162	3001028	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter haemolyticus	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|EF136376.1|+|0-861|ARO:3001025|TEM-159	TEM-159	3001025	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|V00622.1|+|243-903|ARO:3002683|catI	catI	3002683	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	16.21	107	7.00	*	660	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
gb|DQ286729.1|+|0-861|ARO:3000924|TEM-55	TEM-55	3000924	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|GQ149347.1|+|5269-6130|ARO:3001037|TEM-171	TEM-171	3001037	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	27.53	237	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U57969.1|+|4622-6062|ARO:3000802|OprJ	OprJ	3000802	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	56	0	56	3.33	48	23.30	*	1440	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	mdtB	3000793	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	9016	0	9016	65.07	2032	35.22	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|DQ388882.1|+|0-861|ARO:3001005|TEM-142	TEM-142	3001005	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	7.32	63	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AF370885.1|+|4628-7736|ARO:3000775|adeB	adeB	3000775	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	9	0	9	15.77	490	43.44	*	3108	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|AP009048.1|-|4153663-4154296|ARO:3000518|CRP	CRP	3000518	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5975	0	5975	100.00	633	30.12	*	633	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
gb|AJ252200.1|+|1278-4401|ARO:3003056|smeE	smeE	3003056	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	5986	0	5986	27.70	865	19.61	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|JF795538.1|+|0-861|ARO:3001374|TEM-185	TEM-185	3001374	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	6.04	52	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|M80346.1|+|0-1656|ARO:3002817|carA	carA	3002817	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces thermotolerans	965	0	965	3.20	53	30.58	*	1656	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|AY628176.1|+|75-936|ARO:3000987|TEM-125	TEM-125	3000987	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	4.30	37	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|JQ762640.1|+|36-681|ARO:3002763|QnrB48	QnrB48	3002763	protein homolog model	CARD	CARD curation	no data	no data	Citrobacter freundii	1	0	1	12.40	80	18.00	*	645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
gb|KM087851.1|+|0-1146|ARO:3002180|MIR-15	MIR-15	3002180	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter kobei	1	0	1	9.60	110	0.00	*	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
gb|KJ151292.1|+|294-2892|ARO:3000444|rphA	rphA	3000444	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	5	0	5	9.08	236	51.40	*	2598	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
gb|AY043299.1|-|3984-5175|ARO:3000167|tet(C)	tet(C)	3000167	protein homolog model	CARD	CARD curation	no data	no data	Aeromonas salmonicida	2	0	2	23.76	283	60.00	*	1191	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AP009048.1|+|2165012-2166416|ARO:3000829|baeS	baeS	3000829	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	22	0	22	33.83	475	49.23	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|KF240808.1|+|0-861|ARO:3001386|TEM-209	TEM-209	3001386	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	11.85	102	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|FJ873740.1|+|0-858|ARO:3001035|TEM-169	TEM-169	3001035	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	1	0	1	17.02	146	0.00	*	858	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U00096.3|-|481253-484403|ARO:3000216|acrB	acrB	3000216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	12174	0	12174	86.06	2711	35.90	*	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|2808742-2809987|ARO:3000803|MexE	MexE	3000803	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1120	0	1120	51.08	636	41.73	*	1245	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AF351241.1|+|89-950|ARO:3000957|TEM-90	TEM-90	3000957	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|KM087860.1|+|0-1146|ARO:3002174|MIR-9	MIR-9	3002174	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	1	0	1	10.56	121	0.00	*	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
gb|AF170880.4|+|0-1848|ARO:3002522|novA	novA	3002522	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces niveus	1	0	1	2.00	37	60.00	*	1848	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|X97254.1|+|153-1011|ARO:3001043|TEM-178	TEM-178	3001043	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	1	0	1	17.02	146	0.00	*	858	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|CT025800.2|+|0-1221|ARO:3000778|adeG	adeG	3000778	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	5	0	5	48.24	589	53.60	*	1221	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|AY589495.1|+|181-1042|ARO:3000977|TEM-114	TEM-114	3000977	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella aerogenes	1	0	1	6.27	54	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|BA000007.3|-|1737690-1738104|ARO:3000676|H-NS	H-NS	3000676	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	25	0	25	84.54	350	45.16	*	414	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux
gb|U97042.1|+|1263-4347|ARO:3003010|ceoB	ceoB	3003010	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	106	0	106	99.64	3073	55.44	*	3084	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|U46859.1|-|24294-25527|ARO:3003048|rosA	rosA	3003048	protein homolog model	CARD	CARD curation	no data	no data	Yersinia enterocolitica	15	0	15	11.35	140	53.60	*	1233	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
gb|AF173226.1|+|6913-8329|ARO:3003053|smeC	smeC	3003053	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	1	0	1	5.08	72	35.00	*	1416	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|AY956335.1|+|38-899|ARO:3001004|TEM-141	TEM-141	3001004	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	2	0	2	23.81	205	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|M94066.1|+|1553-1994|ARO:3002549|AAC(6')-Ic	AAC(6')-Ic	3002549	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	41	0	41	100.00	441	59.98	*	441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gb|AF370885.1|+|3438-4629|ARO:3000774|adeA	adeA	3000774	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	3	0	3	22.25	265	60.00	*	1191	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	mdtC	3000794	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	10938	0	10938	65.27	2009	49.90	*	3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|U00096.3|+|2810769-2811300|ARO:3000516|emrR	emrR	3000516	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	35	0	35	65.54	348	44.34	*	531	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AP009048.1|+|2166412-2167135|ARO:3000828|baeR	baeR	3000828	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2170	0	2170	54.63	395	38.37	*	723	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AJ318093.1|+|0-861|ARO:3000960|TEM-93	TEM-93	3000960	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AB204810.2|+|186-1533|ARO:3000753|abeM	abeM	3000753	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	10	0	10	63.70	858	56.40	*	1347	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|L36601.1|+|1420-3130|ARO:3003036|oleB	oleB	3003036	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	2	0	2	3.68	63	43.50	*	1710	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|AJ277414.1|+|0-861|ARO:3000952|TEM-85	TEM-85	3000952	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	acrD	3000491	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	8842	0	8842	59.31	1847	36.35	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|FR717535.1|+|0-861|ARO:3000910|TEM-40	TEM-40	3000910	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	7.32	63	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|FJ666069.1|+|0-1194|ARO:3002505|PDC-6	PDC-6	3002505	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.94	47	0.00	*	1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|DQ909059.1|+|0-861|ARO:3001023|TEM-157	TEM-157	3001023	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	4	0	4	39.26	338	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|CP001182.2|+|3283426-3284677|ARO:3000780|adeI	adeI	3000780	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	8	0	8	51.16	640	60.00	*	1251	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|U00096.1|+|3415032-3418137|ARO:3000502|AcrF	AcrF	3000502	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4879	0	4879	18.49	574	11.58	*	3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|U00096.1|+|3413863-3415021|ARO:3000499|AcrE	AcrE	3000499	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5	0	5	5.35	62	24.80	*	1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|D16171.1|+|382-1042|ARO:3002689|pp_cat	Plasmid-encoded cat (pp-cat)	3002689	protein homolog model	CARD	CARD curation	no data	no data	Photobacterium damselae	1	0	1	22.88	151	7.00	*	660	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
gb|AY077483.1|+|182-1055|ARO:3002392|OXY-1-4	OXY-1-4	3002392	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	1	0	1	11.23	98	0.00	*	873	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|EU427302.2|+|1475-2618|ARO:3001829|ACT-4	ACT-4	3001829	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	11	0	11	64.22	734	10.36	*	1143	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
