Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|DQ195536.2|+|0-1248|ARO:3000865|oleD	oleD	3000865	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	4	0	4	15.38	192	25.25	*	1248	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
gb|AE006468.2|-|393893-397061|ARO:3000790|mdsB	mdsB	3000790	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	42	0	42	10.16	322	39.43	*	3168	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux
gb|L36601.1|+|1420-3130|ARO:3003036|oleB	oleB	3003036	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	271	0	271	12.51	214	41.00	*	1710	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|HQ203032.1|+|0-345|ARO:3000245|RbpA	RbpA	3000245	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	5	0	5	79.71	275	50.00	*	345	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection
gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	acrD	3000491	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	6	0	6	5.65	176	20.50	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|JQ768046.1|+|7760-9440|ARO:3001313|facT	facT	3001313	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	18	0	18	5.30	89	53.11	*	1680	major facilitator superfamily (MFS) antibiotic efflux pump	elfamycin antibiotic	antibiotic efflux
gb|AJ250876.1|+|36-987|ARO:3000851|THIN-B	THIN-B	3000851	protein homolog model	CARD	CARD curation	no data	no data	Janthinobacterium lividum	3	0	3	4.31	41	55.00	*	951	THIN-B beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|3415032-3418137|ARO:3000502|AcrF	AcrF	3000502	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	6	0	6	7.86	244	9.83	*	3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|Y00459.1|+|2824-3748|ARO:3002657|APH(6)-Ia	APH(6)-Ia	3002657	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces griseus	2	0	2	4.98	46	55.00	*	924	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
gb|BX571965.1|-|2150965-2152165|ARO:3002982|amrA	amrA	3002982	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	3	0	3	3.00	36	60.00	*	1200	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AF173226.1|-|351-1041|ARO:3003066|smeR	smeR	3003066	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	68	0	68	25.94	179	35.49	*	690	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|AL123456.3|-|3626662-3627349|ARO:3000816|mtrA	mtrA	3000816	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	40	0	40	100.00	687	36.98	*	687	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
gb|EU408346.1|-|4825-5713|ARO:3002482|LRA-1	LRA-1	3002482	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	5.18	46	55.00	*	888	class A LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|JN935136.1|+|0-861|ARO:3001054|TEM-194	TEM-194	3001054	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1	0	1	8.59	74	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U57969.1|+|1485-4617|ARO:3000801|MexD	MexD	3000801	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	426	0	426	11.53	361	29.51	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AB639410.1|+|0-1404|ARO:3003039|OprA	OprA	3003039	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	7	0	7	7.91	111	45.29	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; tetracycline antibiotic	antibiotic efflux
gb|AE004091.2|+|3982020-3984009|ARO:3002985|arnA	arnA	3002985	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	10	0	10	24.79	493	43.30	*	1989	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
gb|U97042.1|+|0-1218|ARO:3003009|ceoA	ceoA	3003009	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	6	0	6	30.30	369	44.17	*	1218	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|AJ000283.1|+|619-1849|ARO:3000343|tap	tap	3000343	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	4	0	4	23.58	290	36.25	*	1230	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|KF478993.1|+|1539-2580|ARO:3002913|vanO	vanO	3002913	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	11	0	11	20.17	210	39.09	*	1041	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|AP009048.1|+|2810082-2811255|ARO:3000027|emrA	emrA	3000027	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	4.01	47	60.00	*	1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|EU675686.2|+|3196-4042|ARO:3002616|aadA16	aadA16	3002616	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	4.37	37	60.00	*	846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|AY758206.1|+|2743-3589|ARO:3002611|aadA11	aadA11	3002611	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	16	0	16	5.32	45	55.12	*	846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|GQ244501.1|-|59-1619|ARO:3000573|tet(43)	tet(43)	3000573	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	6.03	94	53.00	*	1560	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AB015853.1|+|1330-4471|ARO:3003033|mexY	mexY	3003033	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	129	0	129	16.71	525	31.19	*	3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|KF478993.1|+|2576-3185|ARO:3002954|vanX_in_vanO_cl	vanX gene in vanO cluster	3002954	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	6	0	6	59.28	361	40.33	*	609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AF031326.1|+|0-441|ARO:3002561|AAC(6')-Ir	AAC(6')-Ir	3002561	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter colistiniresistens	2	0	2	9.07	40	54.00	*	441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gb|X53527.1|+|0-819|ARO:3002638|APH(3'')-Ia	APH(3'')-Ia	3002638	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces griseus	1	0	1	7.20	59	34.00	*	819	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|AE002098.2|-|1791966-1795170|ARO:3000811|mtrD	mtrD	3000811	protein homolog model	CARD	CARD curation	no data	no data	Neisseria meningitidis	15	0	15	5.43	174	33.60	*	3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
gb|L11616.1|+|1569-4710|ARO:3000378|MexB	MexB	3000378	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	137	0	137	31.68	995	26.69	*	3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AF173226.1|+|3767-6917|ARO:3003052|smeB	smeB	3003052	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	125	0	125	19.71	621	33.21	*	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|M97297.1|+|6979-8010|ARO:3000010|vanA	vanA	3000010	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	1	0	1	21.32	220	60.00	*	1032	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|M57437.1|+|0-1647|ARO:3002827|tlrC	tlrC	3002827	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces fradiae	140	0	140	9.84	162	42.70	*	1647	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic; lincosamide antibiotic	antibiotic target protection
gb|AM087411.1|+|1611-2457|ARO:3002606|aadA6	aadA6	3002606	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	20	0	20	5.56	47	48.70	*	846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|EU408348.1|+|1243-2152|ARO:3002510|LRA-3	LRA-3	3002510	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	17	0	17	35.20	320	43.47	*	909	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|EU408356.1|+|7570-8479|ARO:3002486|LRA-7	LRA-7	3002486	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	4	0	4	16.61	151	28.50	*	909	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
