Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|U94857.1|+|0-996|ARO:3002662|APH(9)-Ia	APH(9)-Ia	3002662	protein homolog model	CARD	CARD curation	no data	no data	Legionella pneumophila	3	0	3	36.55	364	37.67	*	996	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
gb|AJ252200.1|+|81-1266|ARO:3003055|smeD	smeD	3003055	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	6	0	6	5.91	70	59.17	*	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|AE004091.2|+|2813193-2814612|ARO:3000805|OprN	OprN	3000805	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	6.62	94	42.00	*	1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AB015853.1|+|145-1315|ARO:3003034|mexX	mexX	3003034	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	6.58	77	34.33	*	1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AF173226.1|-|1037-2441|ARO:3003067|smeS	smeS	3003067	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	3	0	3	4.63	65	59.67	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|AL123456.1|+|2231679-2232219|ARO:3000392|Erm(37)	Erm(37)	3000392	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	5	0	5	35.74	193	43.20	*	540	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
gb|BX571965.1|-|2147817-2150949|ARO:3002983|amrB	amrB	3002983	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	789	0	789	25.57	801	27.86	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AE004091.2|+|472023-473175|ARO:3000377|MexA	MexA	3000377	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	31	0	31	21.18	244	46.94	*	1152	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|L25634.1|+|1273-2158|ARO:3003562|blaF	blaF	3003562	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	14	0	14	31.64	280	35.21	*	885	blaF family beta-lactamase	penam	antibiotic inactivation
gb|AY768532.1|+|0-1935|ARO:3000535|macB	macB	3000535	protein homolog model	CARD	CARD curation	no data	no data	Neisseria gonorrhoeae	152	0	152	17.42	337	52.35	*	1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|AE004091.2|+|4710620-4712084|ARO:3000809|OpmD	OpmD	3000809	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2	0	2	3.28	48	20.00	*	1464	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AJ252200.1|+|4493-5894|ARO:3003057|smeF	smeF	3003057	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	39	0	39	16.06	225	43.54	*	1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|D38215.1|+|0-1539|ARO:3002893|tcr3	tcr3	3002893	protein homolog model	CARD	CARD curation	no data	no data	Kitasatospora aureofaciens	49	0	49	19.36	298	46.02	*	1539	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|U09991.1|+|27-1338|ARO:3002700|cmlv	cmlv	3002700	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	1	0	1	3.43	45	50.00	*	1311	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
gb|GU060319.1|+|624-861|ARO:3003023|dfrB6	dfrB6	3003023	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	52.32	124	12.00	*	237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
gb|EU408355.1|+|24321-25482|ARO:3002492|LRA-18	LRA-18	3002492	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	6.89	80	0.00	*	1161	class C LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|U41471.1|+|264-852|ARO:3002524|AAC(2')-Ib	AAC(2')-Ib	3002524	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	44	0	44	50.68	298	42.86	*	588	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
gb|U56415.1|+|279-1719|ARO:3002884|iri	iri	3002884	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	8	0	8	7.50	108	31.25	*	1440	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
gb|AL123456.1|-|3773015-3773567|ARO:3003035|mfpA	mfpA	3003035	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	15	0	15	73.91	408	34.07	*	552	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
gb|U57969.1|+|294-1458|ARO:3000800|MexC	MexC	3000800	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	35	0	35	15.46	180	49.17	*	1164	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|U57969.1|+|4622-6062|ARO:3000802|OprJ	OprJ	3000802	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	14	0	14	7.57	109	32.29	*	1440	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|M97297.1|+|3976-4671|ARO:3002919|vanR_in_vanA_cl	vanR gene in vanA cluster	3002919	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	7	0	7	70.11	488	54.43	*	696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	mdtB	3000793	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	969	0	969	28.02	875	37.13	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|KF478993.1|+|490-1543|ARO:3002948|vanH_in_vanO_cl	vanH gene in vanO cluster	3002948	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	120	0	120	60.78	640	39.34	*	1053	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|CP020412.2|-|3537848-3539018|ARO:3004603|tet(56)	tet(56)	3004603	protein homolog model	CARD	CARD curation	no data	no data	Legionella longbeachae	2	0	2	19.49	228	48.50	*	1170	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|AF370885.1|+|4628-7736|ARO:3000775|adeB	adeB	3000775	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	4	0	4	1.13	35	60.00	*	3108	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|AJ252200.1|+|1278-4401|ARO:3003056|smeE	smeE	3003056	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	645	0	645	36.95	1154	20.43	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|X05648.1|+|381-1305|ARO:3002658|APH(6)-Ib	APH(6)-Ib	3002658	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces glaucescens	7	0	7	21.75	201	45.00	*	924	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
gb|EU408354.1|-|3570-4455|ARO:3002512|LRA-17	LRA-17	3002512	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	4.63	41	59.00	*	885	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|X01702.1|+|484-1285|ARO:3002659|APH(6)-Ic	APH(6)-Ic	3002659	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	8.11	65	29.50	*	801	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
gb|M80346.1|+|0-1656|ARO:3002817|carA	carA	3002817	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces thermotolerans	97	0	97	13.47	223	54.63	*	1656	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|X90856.1|+|387-1194|ARO:3002645|APH(3')-IIb	APH(3')-IIb	3002645	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	4.83	39	60.00	*	807	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
gb|AB116646.1|+|429-903|ARO:3002563|AAC(6')-Isa	AAC(6')-Isa	3002563	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces albulus	2	0	2	20.89	99	51.50	*	474	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gb|AF079900.1|+|39-1731|ARO:3002892|otr(B)	otr(B)	3002892	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	19	0	19	11.35	192	51.95	*	1692	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|KJ151292.1|+|294-2892|ARO:3000444|rphA	rphA	3000444	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	1090	0	1090	58.93	1531	46.37	*	2598	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
gb|EU124663.1|-|32695-34348|ARO:3002881|lmrC	lmrC	3002881	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lincolnensis	22	0	22	12.16	201	50.09	*	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic	antibiotic target protection
gb|AB164230.1|+|35-566|ARO:3002593|AAC(6')-Ib-SK	AAC(6')-Ib-SK	3002593	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces kanamyceticus	1	0	1	7.72	41	60.00	*	531	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gb|GQ150744.1|+|122-359|ARO:3003022|dfrB3	dfrB3	3003022	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	12	0	12	93.67	222	21.17	*	237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
gb|AY154657.2|+|62-1223|ARO:3000601|Erm(38)	Erm(38)	3000601	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	21	0	21	26.70	310	42.29	*	1161	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
gb|U00096.3|-|481253-484403|ARO:3000216|acrB	acrB	3000216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	98	0	98	16.89	532	30.66	*	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|2808742-2809987|ARO:3000803|MexE	MexE	3000803	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	23	0	23	9.88	123	57.78	*	1245	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AF030344.1|-|461-1721|ARO:3000181|tet(V)	tet(V)	3000181	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	61	0	61	54.92	692	47.23	*	1260	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|M97297.1|+|10116-10601|ARO:3002962|vanZ_in_vanA_cl	vanZ gene in vanA cluster	3002962	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	8	0	8	70.16	341	48.75	*	486	vanZ; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AF079138.1|+|153-1122|ARO:3000598|Erm(31)	Erm(31)	3000598	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	1	0	1	6.91	67	36.00	*	969	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
gb|AE006468.2|-|392419-393931|ARO:3000791|mdsC	mdsC	3000791	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	1	0	1	4.30	65	18.00	*	1512	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux
gb|U59450.1|+|396-1176|ARO:3002824|ErmV	ErmV	3002824	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces viridochromogenes	1	0	1	8.59	67	0.00	*	780	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
gb|AF170880.4|+|0-1848|ARO:3002522|novA	novA	3002522	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces niveus	300	0	300	79.92	1477	45.23	*	1848	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|AL123456.3|-|314308-314854|ARO:3002525|AAC(2')-Ic	AAC(2')-Ic	3002525	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	27	0	27	51.47	281	42.67	*	546	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
gb|U97042.1|+|1263-4347|ARO:3003010|ceoB	ceoB	3003010	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	2691	0	2691	88.81	2739	37.13	*	3084	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|AF173226.1|+|6913-8329|ARO:3003053|smeC	smeC	3003053	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	60	0	60	6.71	95	44.57	*	1416	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|M94066.1|+|1553-1994|ARO:3002549|AAC(6')-Ic	AAC(6')-Ic	3002549	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	1	0	1	7.26	32	60.00	*	441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gb|JQ064560.1|+|0-1536|ARO:3000448|QepA1	QepA1	3000448	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella aerogenes	12	0	12	20.05	308	0.00	*	1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AE004091.2|+|1221690-1222098|ARO:3000149|FosA	FosA	3000149	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	9.80	40	60.00	*	408	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	mdtC	3000794	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	98	0	98	15.14	466	49.34	*	3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|DQ195536.2|+|0-1248|ARO:3000865|oleD	oleD	3000865	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	2	0	2	11.54	144	14.50	*	1248	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
gb|AE006468.2|-|393893-397061|ARO:3000790|mdsB	mdsB	3000790	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	64	0	64	13.35	423	35.30	*	3168	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux
gb|L36601.1|+|1420-3130|ARO:3003036|oleB	oleB	3003036	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	240	0	240	11.17	191	43.18	*	1710	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|U72743.1|+|385-1018|ARO:3002526|AAC(2')-Id	AAC(2')-Id	3002526	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	10	0	10	15.01	95	34.30	*	633	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
gb|HQ203032.1|+|0-345|ARO:3000245|RbpA	RbpA	3000245	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	132	0	132	93.04	321	52.36	*	345	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection
gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	acrD	3000491	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	58	0	58	8.86	276	16.98	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|JQ768046.1|+|7760-9440|ARO:3001313|facT	facT	3001313	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	49	0	49	8.21	138	51.35	*	1680	major facilitator superfamily (MFS) antibiotic efflux pump	elfamycin antibiotic	antibiotic efflux
gb|AJ250876.1|+|36-987|ARO:3000851|THIN-B	THIN-B	3000851	protein homolog model	CARD	CARD curation	no data	no data	Janthinobacterium lividum	1	0	1	4.31	41	55.00	*	951	THIN-B beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|3415032-3418137|ARO:3000502|AcrF	AcrF	3000502	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	26	0	26	7.92	246	27.00	*	3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|Y00459.1|+|2824-3748|ARO:3002657|APH(6)-Ia	APH(6)-Ia	3002657	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces griseus	2	0	2	7.47	69	33.00	*	924	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
gb|BX571965.1|-|2150965-2152165|ARO:3002982|amrA	amrA	3002982	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	9	0	9	7.08	85	60.00	*	1200	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AF173226.1|-|351-1041|ARO:3003066|smeR	smeR	3003066	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	27	0	27	32.75	226	42.63	*	690	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|AL123456.3|-|3626662-3627349|ARO:3000816|mtrA	mtrA	3000816	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	284	0	284	100.00	687	46.83	*	687	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
gb|U57969.1|+|1485-4617|ARO:3000801|MexD	MexD	3000801	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	241	0	241	19.35	606	35.05	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AY264780.2|-|1824-3006|ARO:3000569|tet(41)	tet(41)	3000569	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	6	0	6	3.55	42	60.00	*	1182	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AF155139.2|+|6976-7648|ARO:3002952|vanX_in_vanF_cl	vanX gene in vanF cluster	3002952	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus popilliae	1	0	1	13.54	91	47.00	*	672	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AB639410.1|+|0-1404|ARO:3003039|OprA	OprA	3003039	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	21	0	21	5.13	72	29.67	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; tetracycline antibiotic	antibiotic efflux
gb|AE004091.2|+|3982020-3984009|ARO:3002985|arnA	arnA	3002985	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	67	0	67	39.47	785	44.99	*	1989	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
gb|U97042.1|+|0-1218|ARO:3003009|ceoA	ceoA	3003009	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	38	0	38	51.97	633	55.53	*	1218	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|AJ000283.1|+|619-1849|ARO:3000343|tap	tap	3000343	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	55	0	55	60.33	742	31.29	*	1230	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|KF478993.1|+|1539-2580|ARO:3002913|vanO	vanO	3002913	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	136	0	136	56.77	591	40.07	*	1041	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|AP009048.1|+|2810082-2811255|ARO:3000027|emrA	emrA	3000027	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	4.77	56	4.00	*	1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AY758206.1|+|2743-3589|ARO:3002611|aadA11	aadA11	3002611	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	8	0	8	5.32	45	51.25	*	846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|GQ244501.1|-|59-1619|ARO:3000573|tet(43)	tet(43)	3000573	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	4	0	4	4.62	72	60.00	*	1560	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
