Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|AM087454.1|+|208-1069|ARO:3001015|TEM-148	TEM-148	3001015	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AE004091.2|+|2813193-2814612|ARO:3000805|OprN	OprN	3000805	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	269	0	269	48.20	684	34.11	*	1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|X80277.1|+|0-1149|ARO:3003553|CepS	CepS	3003553	protein homolog model	CARD	CARD curation	no data	no data	Aeromonas sobria	7	0	7	2.61	30	26.00	*	1149	CepS beta-lactamase	cephalosporin	antibiotic inactivation
gb|FJ197316.1|+|0-861|ARO:3001032|TEM-166	TEM-166	3001032	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	31.94	275	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AB015853.1|+|145-1315|ARO:3003034|mexX	mexX	3003034	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	4	0	4	42.48	497	60.00	*	1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|CP013924.1|+|2063742-2065140|ARO:3003811|adeC	adeC	3003811	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	255	0	255	88.77	1241	51.76	*	1398	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|AJ871865.1|+|0-876|ARO:3002390|OXY-1-2	OXY-1-2	3002390	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	108	0	108	16.89	148	1.91	*	876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|AF173226.1|-|1037-2441|ARO:3003067|smeS	smeS	3003067	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	2	0	2	15.17	213	60.00	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|L20573.1|+|297-1218|ARO:3002987|bcrA	bcrA	3002987	protein homolog model	CARD	CARD curation	no data	no data	Bacillus licheniformis	1	0	1	4.89	45	60.00	*	921	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
gb|AF491278.1|+|183-1050|ARO:3002409|OXY-3-1	OXY-3-1	3002409	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	96	0	96	13.03	113	25.38	*	867	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|AL513383.1|+|161910-162771|ARO:3000873|TEM-1	TEM-1	3000873	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	4	0	4	49.83	429	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY589493.1|+|166-1027|ARO:3000975|TEM-112	TEM-112	3000975	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	22.88	197	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|DQ679961.1|+|114-975|ARO:3001021|TEM-155	TEM-155	3001021	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	6	0	6	62.83	541	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY307100.1|+|0-861|ARO:3000984|TEM-122	TEM-122	3000984	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	25.78	222	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY743435.1|+|13-1159|ARO:3002169|MIR-3	MIR-3	3002169	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	1	0	1	10.03	115	0.00	*	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
gb|U00096.1|-|1124117-1125326|ARO:3001216|mdtH	mdtH	3001216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	31	0	31	31.84	385	36.58	*	1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|KP050491.1|+|0-861|ARO:3001391|TEM-214	TEM-214	3001391	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	29.38	253	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|GQ853679.1|+|0-825|ARO:3001453|OXA-148	OXA-148	3001453	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1	0	1	18.30	151	0.00	*	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|2154015-2155263|ARO:3000792|mdtA	mdtA	3000792	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	29	0	29	20.67	258	46.17	*	1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|AF203816.1|+|210-1071|ARO:3000937|TEM-71	TEM-71	3000937	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	3	0	3	27.29	235	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|KM087861.1|+|0-1146|ARO:3002181|MIR-16	MIR-16	3002181	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	2	0	2	14.49	166	0.00	*	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
gb|GU371926.1|-|50304-51165|ARO:3000903|TEM-33	TEM-33	3000903	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|X54606.1|+|214-1075|ARO:3000874|TEM-2	TEM-2	3000874	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	4	0	4	38.21	329	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|HQ317449.1|+|0-861|ARO:3001373|TEM-182	TEM-182	3001373	protein homolog model	CARD	CARD curation	no data	no data	Haemophilus parainfluenzae	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|Y17583.1|+|213-1071|ARO:3000893|TEM-22	TEM-22	3000893	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	17.60	151	0.00	*	858	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|HM440348.1|+|0-744|ARO:3000553|adeR	adeR	3000553	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	176	0	176	89.11	663	42.20	*	744	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|AL123456.1|+|2231679-2232219|ARO:3000392|Erm(37)	Erm(37)	3000392	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	1	0	1	10.37	56	60.00	*	540	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
gb|DQ834729.1|+|205-1066|ARO:3001018|TEM-151	TEM-151	3001018	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	21.14	182	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY368237.1|+|0-861|ARO:3000990|TEM-128	TEM-128	3000990	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5	0	5	25.90	223	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|BX571965.1|-|2147817-2150949|ARO:3002983|amrB	amrB	3002983	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	4194	0	4194	99.14	3105	49.86	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|KY432484.1|+|0-861|ARO:3001051|TEM-191	TEM-191	3001051	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	3	0	3	18.82	162	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AE004091.2|+|472023-473175|ARO:3000377|MexA	MexA	3000377	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	69	0	69	54.08	623	32.83	*	1152	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|L25634.1|+|1273-2158|ARO:3003562|blaF	blaF	3003562	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	2	0	2	17.06	151	44.00	*	885	blaF family beta-lactamase	penam	antibiotic inactivation
gb|AY768532.1|+|0-1935|ARO:3000535|macB	macB	3000535	protein homolog model	CARD	CARD curation	no data	no data	Neisseria gonorrhoeae	15	0	15	10.34	200	23.07	*	1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|AF427130.1|+|208-1069|ARO:3000951|TEM-84	TEM-84	3000951	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	11.96	103	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|Y13612.1|+|0-861|ARO:3000921|TEM-52	TEM-52	3000921	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	3	0	3	41.35	356	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AM076977.1|+|0-1146|ARO:3001822|ACT-2	ACT-2	3001822	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	1	0	1	13.18	151	0.00	*	1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
gb|KM233164.1|+|0-861|ARO:3003152|SHV-185	SHV-185	3003152	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	17.54	151	0.00	*	861	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|AJ308558.1|+|181-1042|ARO:3000962|TEM-95	TEM-95	3000962	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|CT025802.2|+|0-1452|ARO:3000779|adeH	adeH	3000779	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	345	0	345	96.69	1404	49.55	*	1452	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|AY101764.1|+|206-1067|ARO:3000970|TEM-107	TEM-107	3000970	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|HM246246.1|+|211-1069|ARO:3001047|TEM-187	TEM-187	3001047	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	14	0	14	46.62	400	0.00	*	858	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|KP050484.1|+|0-1146|ARO:3002170|MIR-5	MIR-5	3002170	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	1	0	1	13.18	151	0.00	*	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
gb|AY072920.1|+|0-861|ARO:3000973|TEM-110	TEM-110	3000973	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	14.87	128	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AJ012256.1|+|208-1069|ARO:3000939|TEM-73	TEM-73	3000939	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	3	0	3	38.21	329	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|DQ105528.2|+|0-861|ARO:3001012|TEM-145	TEM-145	3001012	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	18.12	156	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|CP001172.1|-|1249018-1249348|ARO:3000768|abeS	abeS	3000768	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	139	0	139	100.00	330	56.75	*	330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|JX310327.1|+|0-861|ARO:3001378|TEM-201	TEM-201	3001378	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY769962.1|+|2434-5611|ARO:3000781|adeJ	adeJ	3000781	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1481	0	1481	100.00	3177	59.90	*	3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AJ252200.1|+|4493-5894|ARO:3003057|smeF	smeF	3003057	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	48	0	48	46.11	646	28.71	*	1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|AJ871875.1|+|0-873|ARO:3002414|OXY-6-2	OXY-6-2	3002414	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	1	0	1	5.38	47	0.00	*	873	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|AY039040.1|+|188-1022|ARO:3000956|TEM-89	TEM-89	3000956	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	6.47	54	0.00	*	834	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|EU029998.1|+|575-1400|ARO:3001440|OXA-115	OXA-115	3001440	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1	0	1	4.24	35	0.00	*	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|D38215.1|+|0-1539|ARO:3002893|tcr3	tcr3	3002893	protein homolog model	CARD	CARD curation	no data	no data	Kitasatospora aureofaciens	1	0	1	2.47	38	29.00	*	1539	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
