assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_019693505.1	PRJNA517804	SAMN10845581	JAAMXT000000000.1		representative genome		2771	2771	Cyanidium caldarium	strain=UTEX2393		latest	Scaffold	Major	Full	2021/08/19	ASM1969350v1	New York University AbuDhabi, UAE	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/693/505/GCA_019693505.1_ASM1969350v1	./genbank/GCA_019693505.1_ASM1969350v1_genomic.fna.gz
GCA_003346895.1	PRJNA383985	SAMN06820827	NFUL00000000.1		representative genome		2782	2782	Gracilariopsis lemaneiformis	cultivar=981		latest	Scaffold	Major	Full	2018/07/31	Glem_v01	Shanghai Jiao Tong university	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/895/GCA_003346895.1_Glem_v01	./genbank/GCA_003346895.1_Glem_v01_genomic.fna.gz
GCA_002049455.2	PRJNA234409	SAMN00118171	MXAK00000000.1		representative genome		2786	2786	Porphyra umbilicalis		4086291	latest	Scaffold	Minor	Full	2017/07/27	P_umbilicalis_v1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/049/455/GCA_002049455.2_P_umbilicalis_v1	./genbank/GCA_002049455.2_P_umbilicalis_v1_genomic.fna.gz
GCA_009829735.1	PRJNA589917	SAMN13316713	WMLA00000000.1		representative genome		2788	2788	Neopyropia yezoensis	cultivar=RZ		latest	Chromosome	Major	Full	2020/01/06	ASM982973v1	Ocean University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/735/GCA_009829735.1_ASM982973v1	./genbank/GCA_009829735.1_ASM982973v1_genomic.fna.gz
GCA_002284615.2	PRJNA32771	SAMN02746051	NSFN00000000.2		representative genome		3046	3046	Dunaliella salina	strain=CCAP 19/18		latest	Scaffold	Major	Full	2020/07/10	Dunsal1 v. 2	JGI	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/615/GCA_002284615.2_Dunsal1_v._2	./genbank/GCA_002284615.2_Dunsal1_v._2_genomic.fna.gz
GCA_000002595.3	PRJNA12260	SAMN02953692	ABCN00000000.2		representative genome		3055	3055	Chlamydomonas reinhardtii	strain=CC-503 cw92 mt+		latest	Chromosome	Major	Full	2018/01/26	Chlamydomonas_reinhardtii_v5.5	DOE Joint Genome Institute	GCF_000002595.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/595/GCA_000002595.3_Chlamydomonas_reinhardtii_v5.5	./genbank/GCA_000002595.3_Chlamydomonas_reinhardtii_v5.5_genomic.fna.gz
GCA_013389655.1	PRJNA639806	SAMN15249690	JABWPN000000000.1		na		3055	3055	Chlamydomonas reinhardtii	strain=CC-1690		latest	Chromosome	Major	Full	2020/07/06	ASM1338965v1	IBPS	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/389/655/GCA_013389655.1_ASM1338965v1	./genbank/GCA_013389655.1_ASM1338965v1_genomic.fna.gz
GCA_018257845.1	PRJNA717658	SAMN18499640	JAGJGU000000000.1		na		3055	3055	Chlamydomonas reinhardtii	strain=CC-503 CW92		latest	Chromosome	Major	Full	2021/05/04	ASM1825784v1	None	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/257/845/GCA_018257845.1_ASM1825784v1	./genbank/GCA_018257845.1_ASM1825784v1_genomic.fna.gz
GCA_000143455.1	PRJNA13109	SAMN02953753	ACJH00000000.1		representative genome		3068	3067	Volvox carteri f. nagariensis	strain=Eve		latest	Scaffold	Major	Full	2010/07/08	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCF_000143455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/455/GCA_000143455.1_v1.0	./genbank/GCA_000143455.1_v1.0_genomic.fna.gz
GCA_001598975.1	PRJDB3487	SAMD00025188	BBXU00000000.1		na		3074	3074	Parachlorella kessleri	strain=NIES-2152		latest	Contig	Major	Full	2015/12/19	PK2152_assembly	The University of Tokyo	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/975/GCA_001598975.1_PK2152_assembly	./genbank/GCA_001598975.1_PK2152_assembly_genomic.fna.gz
GCA_015712045.1	PRJNA562999	SAMN12661174	VTSQ00000000.1		representative genome		3074	3074	Parachlorella kessleri	strain=iCABeR21		latest	Contig	Major	Full	2020/12/02	ASM1571204v1	International Centre for Genetic Engineering and Biotechnology	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/712/045/GCA_015712045.1_ASM1571204v1	./genbank/GCA_015712045.1_ASM1571204v1_genomic.fna.gz
GCA_000733215.1	PRJNA182710	SAMN02433493	APJO00000000.1		representative genome		3075	3075	Auxenochlorella protothecoides	strain=0710		latest	Scaffold	Major	Full	2014/08/01	ASM73321v1	Beijing Genomics Institue, Shenzhen	GCF_000733215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/215/GCA_000733215.1_ASM73321v1	./genbank/GCA_000733215.1_ASM73321v1_genomic.fna.gz
GCA_002154875.1	PRJNA362700	SAMN06273072	MUYL00000000.1		na		3075	3075	Auxenochlorella protothecoides	strain=UTEX 2341		latest	Scaffold	Major	Full	2017/05/22	AuxProt1.0	Agricultural University of Athens	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/154/875/GCA_002154875.1_AuxProt1.0	./genbank/GCA_002154875.1_AuxProt1.0_genomic.fna.gz
GCA_003709365.1	PRJNA476562	SAMN09439844	QOKY00000000.1		na		3075	3075	Auxenochlorella protothecoides	strain=UTEX 25		latest	Scaffold	Major	Full	2018/11/01	ASM370936v1	Los Alamos National Lab	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/365/GCA_003709365.1_ASM370936v1	./genbank/GCA_003709365.1_ASM370936v1_genomic.fna.gz
GCA_002245835.2	PRJNA290386	SAMN03890866	LHPG00000000.2		na		3076	3076	Chlorella sorokiniana	strain=1602		latest	Contig	Major	Full	2018/03/16	Chlorella_sorokiniana 2.0	University of Minnesota	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/245/835/GCA_002245835.2_Chlorella_sorokiniana_2.0	./genbank/GCA_002245835.2_Chlorella_sorokiniana_2.0_genomic.fna.gz
GCA_002939045.1	PRJNA422906	SAMN08200237	PQAU00000000.1		na		3076	3076	Chlorella sorokiniana	strain=1228		latest	Contig	Major	Full	2018/02/23	CSI_1228	Los Alamos National Laboratory	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/939/045/GCA_002939045.1_CSI_1228	./genbank/GCA_002939045.1_CSI_1228_genomic.fna.gz
GCA_003116155.1	PRJNA422905	SAMN08200238	PKFD00000000.1		na		3076	3076	Chlorella sorokiniana	strain=1412		latest	Contig	Major	Full	2018/05/11	ASM311615v1	Los Alamos National Laboratory	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/116/155/GCA_003116155.1_ASM311615v1	./genbank/GCA_003116155.1_ASM311615v1_genomic.fna.gz
GCA_003130725.1	PRJNA422912	SAMN08200531	PKFC00000000.1		representative genome		3076	3076	Chlorella sorokiniana	strain=1230		latest	Chromosome	Major	Full	2018/06/13	ASM313072v1	Los Alamos National Lab	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/725/GCA_003130725.1_ASM313072v1	./genbank/GCA_003130725.1_ASM313072v1_genomic.fna.gz
GCA_006782965.1	PRJNA503387	SAMN10373491	RRZN00000000.1		na		3076	3076	Chlorella sorokiniana	cultivar=cultivar07	BD08	latest	Scaffold	Major	Full	2019/07/12	ASM678296v1	BGI	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/782/965/GCA_006782965.1_ASM678296v1	./genbank/GCA_006782965.1_ASM678296v1_genomic.fna.gz
GCA_006782985.1	PRJNA503387	SAMN10373492	RRZM00000000.1		na		3076	3076	Chlorella sorokiniana	cultivar=cultivar13	BD09	latest	Scaffold	Major	Full	2019/07/09	ASM678298v1	BGI	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/782/985/GCA_006782985.1_ASM678298v1	./genbank/GCA_006782985.1_ASM678298v1_genomic.fna.gz
GCA_001021125.1	PRJNA278897	SAMN03453227	LDKB00000000.1		na		3077	3077	Chlorella vulgaris	strain=UTEX 395		latest	Scaffold	Major	Full	2015/06/05	ASM102112v1	National Renewable Energy Laboratory	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/125/GCA_001021125.1_ASM102112v1	./genbank/GCA_001021125.1_ASM102112v1_genomic.fna.gz
GCA_008119945.1	PRJNA550188	SAMN12111214	VJNP00000000.1		na		3077	3077	Chlorella vulgaris		UMT-M1	latest	Scaffold	Major	Full	2019/08/20	UMT_ChlVul_UMT-M1	Universiti Malaysia Terengganu	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/119/945/GCA_008119945.1_UMT_ChlVul_UMT-M1	./genbank/GCA_008119945.1_UMT_ChlVul_UMT-M1_genomic.fna.gz
GCA_009720205.1	PRJNA542208	SAMN11534441	VATV00000000.1		na		3077	3077	Chlorella vulgaris	strain=NJ-7		latest	Scaffold	Major	Full	2019/11/28	ASM972020v1	Chinese Academy of Sciences	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/720/205/GCA_009720205.1_ASM972020v1	./genbank/GCA_009720205.1_ASM972020v1_genomic.fna.gz
GCA_009720215.1	PRJNA542209	SAMN11535055	VATW00000000.1		na		3077	3077	Chlorella vulgaris	strain=UTEX259		latest	Scaffold	Major	Full	2019/11/28	ASM972021v1	Chinese Academy of Sciences	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/720/215/GCA_009720215.1_ASM972021v1	./genbank/GCA_009720215.1_ASM972021v1_genomic.fna.gz
GCA_023343905.1	PRJNA495479	SAMN10227765	SIDB00000000.1		representative genome		3077	3077	Chlorella vulgaris		211/11P	latest	Scaffold	Major	Full	2022/05/16	cvul	University Of Verona	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/343/905/GCA_023343905.1_cvul	./genbank/GCA_023343905.1_cvul_genomic.fna.gz
GCA_001430745.1	PRJNA171991	SAMN02954480	ANZC00000000.1		representative genome		3078	3078	Auxenochlorella pyrenoidosa	strain=FACHB-9		latest	Scaffold	Major	Full	2015/11/03	ASM143074v1	Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/430/745/GCA_001430745.1_ASM143074v1	./genbank/GCA_001430745.1_ASM143074v1_genomic.fna.gz
GCA_002149895.1	PRJNA382816	SAMN06733347	NEDT00000000.1		na		3088	3088	Tetradesmus obliquus	strain=DOE0152z		latest	Contig	Major	Full	2017/05/19	ASM214989v1	Brooklyn College - City University of New York	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/149/895/GCA_002149895.1_ASM214989v1	./genbank/GCA_002149895.1_ASM214989v1_genomic.fna.gz
GCA_014621415.1	PRJNA593662	SAMN13483351	WOXY00000000.1		na		3088	3088	Tetradesmus obliquus	strain=AS-6-11		latest	Contig	Major	Full	2020/09/17	ASM1462141v1	Shanghaijiaotong university	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/621/415/GCA_014621415.1_ASM1462141v1	./genbank/GCA_014621415.1_ASM1462141v1_genomic.fna.gz
GCA_900108755.1	PRJEB15865	SAMEA4502842	FNXT00000000.1		representative genome		3088	3088	Tetradesmus obliquus			latest	Scaffold	Major	Full	2016/11/05	sob1	WAGENINGEN UNIVERSITY	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/755/GCA_900108755.1_sob1	./genbank/GCA_900108755.1_sob1_genomic.fna.gz
GCA_002317545.1	PRJNA394817	SAMN07360942	NNCB00000000.1		representative genome		3089	3089	Scenedesmus quadricauda		LWG 002611	latest	Contig	Major	Full	2017/09/20	ASM231754v1	CSIR-National Botanical Research Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/317/545/GCA_002317545.1_ASM231754v1	./genbank/GCA_002317545.1_ASM231754v1_genomic.fna.gz
GCA_003255715.1	PRJNA338014	SAMN08930906	QBLF00000000.1		na		3111	3111	Prototheca wickerhamii	strain=HMC1		latest	Scaffold	Major	Full	2018/06/19	ASM325571v1	UW	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/255/715/GCA_003255715.1_ASM325571v1	./genbank/GCA_003255715.1_ASM325571v1_genomic.fna.gz
GCA_016906385.1	PRJNA681132	SAMN16933429	JADZLO000000000.1		representative genome		3111	3111	Prototheca wickerhamii	strain=ATCC 16529		latest	Scaffold	Major	Full	2021/02/18	DBVPG-IBB	Institute of Biochemistry and Biophisycs PAS	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/906/385/GCA_016906385.1_DBVPG-IBB	./genbank/GCA_016906385.1_DBVPG-IBB_genomic.fna.gz
GCA_004138255.1	PRJNA484545	SAMN09766007	SDUY00000000.1		na		3117	3117	Ulva prolifera		YS-2018	latest	Scaffold	Major	Full	2019/02/05	ASM413825v1	Soochow university	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/138/255/GCA_004138255.1_ASM413825v1	./genbank/GCA_004138255.1_ASM413825v1_genomic.fna.gz
GCA_023078555.1	PRJNA705045	SAMN18061642	JALAAN000000000.1		representative genome		3117	3117	Ulva prolifera		Qingdaoensis	latest	Chromosome	Major	Full	2022/04/22	ASM2307855v1	Shanghai Ocean University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/078/555/GCA_023078555.1_ASM2307855v1	./genbank/GCA_023078555.1_ASM2307855v1_genomic.fna.gz
GCA_023707965.1	PRJDB13471	SAMD00469653	BRCE00000000.1		na		3117	3117	Ulva prolifera	ecotype=Yoshinogawa	Hashirijima_01	latest	Contig	Major	Full	2022/05/17	U_prolifera_HU1.0	Hiroshima University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/707/965/GCA_023707965.1_U_prolifera_HU1.0	./genbank/GCA_023707965.1_U_prolifera_HU1.0_genomic.fna.gz
GCA_009103225.1	PRJNA498917	SAMN10351691	RHPI00000000.1		representative genome		3144	3144	Chlorokybus atmophyticus	cultivar=cultivar01		latest	Scaffold	Major	Full	2019/10/15	ASM910322v1	BGI	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/103/225/GCA_009103225.1_ASM910322v1	./genbank/GCA_009103225.1_ASM910322v1_genomic.fna.gz
GCA_006384855.1	PRJNA542153	SAMN11613237	VCJN00000000.1		representative genome		3165	3165	Tetraselmis striata	strain=LANL1001		latest	Contig	Major	Full	2019/06/21	TSEL_PacBio_SMRT	Los Alamos National Laboratory	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/384/855/GCA_006384855.1_TSEL_PacBio_SMRT	./genbank/GCA_006384855.1_TSEL_PacBio_SMRT_genomic.fna.gz
GCA_003032435.1	PRJNA53523	SAMN00769973	PNPG00000000.1		representative genome		3197	3197	Marchantia polymorpha	strain=Tak-1		latest	Scaffold	Major	Full	2018/01/10	Marchanta_polymorpha_v1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/032/435/GCA_003032435.1_Marchanta_polymorpha_v1	./genbank/GCA_003032435.1_Marchanta_polymorpha_v1_genomic.fna.gz
GCA_000002425.2	PRJNA13064	SAMN00120126	ABEU00000000.2		representative genome		3218	3218	Physcomitrium patens	ecotype=Gransden 2004		latest	Chromosome	Major	Full	2018/01/24	Phypa V3	Moss Genome Consortium	GCF_000002425.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/425/GCA_000002425.2_Phypa_V3	./genbank/GCA_000002425.2_Phypa_V3_genomic.fna.gz
GCA_014871385.1	PRJNA258984	SAMN05660401	JACMSA000000000.1		representative genome		3225	3225	Ceratodon purpureus	strain=R40		latest	Chromosome	Major	Full	2020/12/28	CpurpureusR40_1_0	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/871/385/GCA_014871385.1_CpurpureusR40_1_0	./genbank/GCA_014871385.1_CpurpureusR40_1_0_genomic.fna.gz
GCA_014871845.1	PRJNA209554	SAMN00139469	JACMSB000000000.1		na		3225	3225	Ceratodon purpureus	strain=GG1		latest	Chromosome	Major	Full	2020/12/28	CpurpureusGG1_1_0	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/871/845/GCA_014871845.1_CpurpureusGG1_1_0	./genbank/GCA_014871845.1_CpurpureusGG1_1_0_genomic.fna.gz
GCA_024626585.1	PRJNA859140	SAMN29767938	JANKJI000000000.1		representative genome		3311	3311	Ginkgo biloba		IRGN 6FRKPULKRB	latest	Scaffold	Major	Full	2022/08/10	ASM2462658v1	Iridian Genomes	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/626/585/GCA_024626585.1_ASM2462658v1	./genbank/GCA_024626585.1_ASM2462658v1_genomic.fna.gz
GCA_018584345.1	PRJNA684624	SAMN17064540	JAGRRI000000000.1		representative genome		3316	3316	Thuja plicata		2323-211-S5	latest	Scaffold	Major	Full	2021/05/27	redcedar-v3	University of British Columbia	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/584/345/GCA_018584345.1_redcedar-v3	./genbank/GCA_018584345.1_redcedar-v3_genomic.fna.gz
GCA_900067695.1	PRJEB1822	SAMEA3269885	CBVK0000000000.1		representative genome		3329	3329	Picea abies			latest	Scaffold	Major	Full	2016/11/09	Pabies01	UPSC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/067/695/GCA_900067695.1_Pabies01	./genbank/GCA_900067695.1_Pabies01_genomic.fna.gz
GCA_000411955.6	PRJNA83435	SAMN01120252	ALWZ000000000.5		na		3330	3330	Picea glauca		PG29	latest	Scaffold	Major	Full	2020/01/10	PG29_v5	The SMarTForests Project	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/411/955/GCA_000411955.6_PG29_v5	./genbank/GCA_000411955.6_PG29_v5_genomic.fna.gz
GCA_000966675.3	PRJNA242552	SAMN02736787	JZKD000000000.2		representative genome		3330	3330	Picea glauca			latest	Scaffold	Major	Full	2020/01/09	WS77111_v2	SMarTForests Consortium	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/675/GCA_000966675.3_WS77111_v2	./genbank/GCA_000966675.3_WS77111_v2_genomic.fna.gz
GCA_001687225.1	PRJNA83435	SAMN01120252	LDPM00000000.1	partial	na		3330	3330	Picea glauca			latest	Contig	Major	Partial	2016/07/18	SeqCapPg29	Genome Sciences Centre	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/225/GCA_001687225.1_SeqCapPg29	./genbank/GCA_001687225.1_SeqCapPg29_genomic.fna.gz
GCA_010110895.2	PRJNA304257	SAMN04296985	SNQJ000000000.1		representative genome		3332	3332	Picea sitchensis		Q903	latest	Scaffold	Major	Full	2020/01/09	Q903_v1	BC Cancer Agency	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/110/895/GCA_010110895.2_Q903_v1	./genbank/GCA_010110895.2_Q903_v1_genomic.fna.gz
GCA_009831015.1	PRJNA504036	SAMN10388286	WSFP000000000.1		representative genome		3334	3334	Picea engelmannii		Se404-851	latest	Scaffold	Major	Full	2020/01/03	Se404-851_v1	BC Cancer Agency	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/831/015/GCA_009831015.1_Se404-851_v1	./genbank/GCA_009831015.1_Se404-851_v1_genomic.fna.gz
GCA_001447015.2	PRJNA174450	SAMN03354659	LMTP000000000.1		representative genome		3343	3343	Pinus lambertiana		USFS_5038	latest	Scaffold	Minor	Full	2015/11/17	Sugar pine JHU assembly	TreeGenes Database	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/015/GCA_001447015.2_Sugar_pine_JHU_assembly	./genbank/GCA_001447015.2_Sugar_pine_JHU_assembly_genomic.fna.gz
GCA_900143225.1	PRJEB18435	SAMEA18502918	FRDG00000000.1	partial	na		3349	3349	Pinus sylvestris			latest	Contig	Major	Partial	2017/01/02	FinPunk_mtDNA_Assembly	CENTRE FOR ECOLOGY AND HYDROLOGY	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/225/GCA_900143225.1_FinPunk_mtDNA_Assembly	./genbank/GCA_900143225.1_FinPunk_mtDNA_Assembly_genomic.fna.gz
GCA_000404065.3	PRJNA174450	SAMN02981512	APFE000000000.3		representative genome		3352	3352	Pinus taeda			latest	Scaffold	Major	Full	2017/01/09	Ptaeda2.0	TreeGenes Database	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/404/065/GCA_000404065.3_Ptaeda2.0	./genbank/GCA_000404065.3_Ptaeda2.0_genomic.fna.gz
GCA_001517045.1	PRJNA174450	SAMN03333061	LPNX000000000.1		representative genome		3357	3357	Pseudotsuga menziesii		Weyco1	latest	Scaffold	Major	Full	2015/12/22	DougFir1.0	TreeGenes Database	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/517/045/GCA_001517045.1_DougFir1.0	./genbank/GCA_001517045.1_DougFir1.0_genomic.fna.gz
